raceId,driverId,grid,positionOrder,circuitId,cstrIdString,nb_preds
905,1,2,2,6,MER,4
908,821,19,20,9,SAU,4
930,3,1,1,4,MER,4
928,807,16,20,17,RCP,4
902,817,13,4,3,RBR,4
905,818,7,17,6,TOR,1
900,8,11,7,1,FER,4
904,828,19,20,4,CAT,4
934,822,4,5,9,WIL,4
901,818,9,19,2,TOR,4
927,20,2,1,2,FER,1
910,828,19,22,11,CAT,1
902,820,21,13,3,RUS,4
900,20,12,18,1,RBR,1
904,155,20,21,4,CAT,4
908,813,20,17,9,LOT,1
912,821,15,19,14,SAU,4
911,817,5,1,13,RBR,4
934,833,20,12,9,MAN,4
928,20,3,3,17,FER,1
905,828,22,11,6,CAT,3
908,828,21,19,9,CAT,1
926,813,9,15,1,LOT,2
928,817,7,9,17,RBR,3
902,16,22,22,3,SAU,1
929,807,8,13,3,RCP,1
912,820,20,22,14,RUS,4
918,822,3,3,24,WIL,4
902,13,7,7,3,WIL,4
917,1,2,2,18,MER,3
903,826,13,10,17,TOR,1
929,829,18,16,3,MAN,3
931,829,18,17,6,MAN,4
913,3,2,21,15,MER,3
910,821,13,17,11,SAU,2
933,13,4,3,70,WIL,4
918,829,17,17,24,CAT,4
913,815,15,7,15,RCP,3
933,832,12,16,70,TOR,4
934,8,5,8,9,FER,4
934,815,11,9,9,RCP,4
916,815,11,17,69,RCP,3
932,1,1,1,7,MER,2
933,828,11,13,70,SAU,2
906,20,3,3,7,RBR,4
910,825,21,12,11,MCL,4
907,155,19,16,70,CAT,3
933,8,14,19,70,FER,4
932,822,4,3,7,WIL,2
918,826,5,20,24,TOR,4
915,828,16,19,71,CAT,4
927,833,19,15,2,MAN,4
915,3,2,2,71,MER,2
905,820,19,14,6,RUS,1
914,13,4,7,22,WIL,4
927,832,15,8,2,TOR,2
911,828,22,17,13,CAT,3
929,822,5,4,3,WIL,4
909,20,6,4,10,RBR,4
909,18,11,8,10,MCL,3
926,828,15,8,1,SAU,1
913,16,17,19,15,SAU,3
915,4,7,6,71,FER,3
907,813,13,12,70,LOT,2
914,4,5,22,22,FER,1
931,826,5,4,6,RBR,4
904,813,22,15,4,LOT,4
914,825,7,14,22,MCL,4
927,8,11,4,2,FER,3
927,828,9,19,2,SAU,2
903,18,12,11,17,MCL,4
908,155,22,15,9,CAT,1
909,825,4,9,10,MCL,2
932,815,10,11,7,RCP,1
903,16,14,22,17,SAU,1
909,1,20,3,10,MER,1
913,18,11,18,15,MCL,3
910,20,2,7,11,RBR,3
930,830,6,11,4,TOR,4
917,8,10,7,18,FER,2
908,4,16,6,9,FER,2
913,813,18,12,15,LOT,4
929,18,20,20,3,MCL,3
912,155,18,17,14,CAT,1
933,815,13,9,70,RCP,4
912,815,10,7,14,RCP,2
926,832,7,9,1,TOR,3
914,820,21,18,22,RUS,1
916,16,9,18,69,SAU,1
931,8,6,6,6,FER,4
915,807,17,12,71,RCP,4
912,817,9,5,14,RBR,1
902,826,12,11,3,TOR,4
927,4,18,18,2,MCL,4
906,825,12,9,7,MCL,4
907,817,5,8,70,RBR,4
901,20,2,3,2,RBR,3
927,813,12,16,2,LOT,3
908,822,14,2,9,WIL,1
918,3,1,14,24,MER,1
900,4,5,4,1,FER,1
912,807,13,12,14,RCP,1
933,831,8,11,70,SAU,2
900,826,8,9,1,TOR,1
902,807,11,5,3,RCP,1
908,815,7,11,9,RCP,3
913,824,19,16,15,RUS,2
905,825,8,10,6,MCL,4
916,817,5,3,69,RBR,4
927,829,0,20,2,MAN,4
916,807,13,16,69,RCP,4
916,8,8,13,69,FER,2
926,8,5,12,1,FER,1
910,3,1,4,11,MER,4
910,18,7,10,11,MCL,4
918,8,7,10,24,FER,3
930,1,2,2,4,MER,1
933,154,9,15,70,LOT,4
916,1,2,1,69,MER,3
901,817,5,16,2,RBR,2
917,18,5,4,18,MCL,4
906,4,7,6,7,FER,4
931,831,14,9,6,SAU,4
903,3,4,2,17,MER,4
932,817,9,13,7,RBR,1
914,3,1,2,22,MER,4
905,822,13,16,6,WIL,4
910,817,4,1,11,RBR,4
928,831,9,8,17,SAU,1
906,155,21,18,7,CAT,4
933,822,6,5,70,WIL,3
